occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Anoplolepis gracilipes","Anoplolepis gracilipes (Smith, 1857)","1317433","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Anoplolepis","Anoplolepis gracilipes","Anoplolepis gracilipes","(Smith, 1857) ","1317433",
,"Anoplolepis gracilipes","Anoplolepis gracilipes (Smith, 1857)","1317433","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Anoplolepis","Anoplolepis gracilipes","Anoplolepis gracilipes","(Smith, 1857) ","1317433",
,"Cornu apertus","Cornu apertus (Born, 1778)","9716911","EXACT","98","SYNONYM","SPECIES","Animalia","Mollusca","Gastropoda","Stylommatophora","Helicidae","Cantareus","Cantareus apertus","Cornu apertus","(Born, 1778) ","9716911","4564228"
,"Hemigrapsus sanguineus","Hemigrapsus sanguineus (De Haan, 1835)","2225772","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Varunidae","Hemigrapsus","Hemigrapsus sanguineus","Hemigrapsus sanguineus","(De Haan, 1835) ","2225772",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
,"Pheidole megacephala","Pheidole megacephala (Fabricius, 1793)","1322635","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole megacephala","Pheidole megacephala","(Fabricius, 1793) ","1322635",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
,"Paratrechina longicornis","Paratrechina longicornis (Latreille, 1802)","1325561","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Paratrechina","Paratrechina longicornis","Paratrechina longicornis","(Latreille, 1802) ","1325561",
,"Coleosoma floridanum","Coleosoma floridanum Banks, 1900","2155867","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Arachnida","Araneae","Theridiidae","Coleosoma","Coleosoma floridanum","Coleosoma floridanum","Banks, 1900","2155867",
,"Cornu apertus","Cornu apertus (Born, 1778)","9716911","EXACT","98","SYNONYM","SPECIES","Animalia","Mollusca","Gastropoda","Stylommatophora","Helicidae","Cantareus","Cantareus apertus","Cornu apertus","(Born, 1778) ","9716911","4564228"
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
,"Steatoda triangulosa","Steatoda triangulosa (Walckenaer, 1802)","2157242","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Arachnida","Araneae","Theridiidae","Steatoda","Steatoda triangulosa","Steatoda triangulosa","(Walckenaer, 1802) ","2157242",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Pseudococcus longispinus","Pseudococcus longispinus (Targioni Tozzetti, 1867)","2095283","EXACT","97","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hemiptera","Pseudococcidae","Pseudococcus","Pseudococcus longispinus","Pseudococcus longispinus","(Targioni Tozzetti, 1867) ","2095283",
,"Camponotus nigriceps","Camponotus nigriceps (Smith, 1858)","5033190","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus nigriceps","Camponotus nigriceps","(Smith, 1858) ","5033190",
,"Technomyrmex albipes","Technomyrmex albipes (Smith, 1861)","1320126","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Technomyrmex","Technomyrmex albipes","Technomyrmex albipes","(Smith, 1861) ","1320126",
,"Camponotus nigriceps","Camponotus nigriceps (Smith, 1858)","5033190","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus nigriceps","Camponotus nigriceps","(Smith, 1858) ","5033190",
,"Camponotus suffusus suffusus","Camponotus suffusus suffusus","5033849","EXACT","98","ACCEPTED","SUBSPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus suffusus","Camponotus suffusus suffusus","(Smith, 1858) ","5033849",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
,"Pseudococcus longispinus","Pseudococcus longispinus (Targioni Tozzetti, 1867)","2095283","EXACT","97","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hemiptera","Pseudococcidae","Pseudococcus","Pseudococcus longispinus","Pseudococcus longispinus","(Targioni Tozzetti, 1867) ","2095283",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Linepithema humile","Linepithema humile (Mayr, 1868)","1316908","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Linepithema","Linepithema humile","Linepithema humile","(Mayr, 1868) ","1316908",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus molossus","Camponotus molossus Forel, 1907","5033632","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus molossus","Camponotus molossus","Forel, 1907","5033632",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Camponotus consobrinus","Camponotus consobrinus (Erichson, 1842)","5033679","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus consobrinus","Camponotus consobrinus","(Erichson, 1842) ","5033679",
,"Technomyrmex","Technomyrmex Mayr, 1872","1320039","EXACT","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Technomyrmex",,"Technomyrmex","Mayr, 1872","1320039",
,"Paratrechina longicornis","Paratrechina longicornis (Latreille, 1802)","1325561","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Paratrechina","Paratrechina longicornis","Paratrechina longicornis","(Latreille, 1802) ","1325561",
,"Paratrechina longicornis","Paratrechina longicornis (Latreille, 1802)","1325561","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Paratrechina","Paratrechina longicornis","Paratrechina longicornis","(Latreille, 1802) ","1325561",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Technomyrmex","Technomyrmex Mayr, 1872","1320039","EXACT","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Technomyrmex",,"Technomyrmex","Mayr, 1872","1320039",
,"Technomyrmex","Technomyrmex Mayr, 1872","1320039","EXACT","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Technomyrmex",,"Technomyrmex","Mayr, 1872","1320039",
,"Technomyrmex","Technomyrmex Mayr, 1872","1320039","EXACT","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Technomyrmex",,"Technomyrmex","Mayr, 1872","1320039",
,"Technomyrmex","Technomyrmex Mayr, 1872","1320039","EXACT","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Technomyrmex",,"Technomyrmex","Mayr, 1872","1320039",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Carcinus maenas","Carcinus maenas (Linnaeus, 1758)","5178595","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas","(Linnaeus, 1758) ","5178595",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Apis (Apis) cerana","Apis cerana Fabricius, 1793","1341979","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis cerana","Apis cerana","Fabricius, 1793","1341979",
,"Apis (Apis) cerana","Apis cerana Fabricius, 1793","1341979","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis cerana","Apis cerana","Fabricius, 1793","1341979",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
,"Technomyrmex","Technomyrmex Mayr, 1872","1320039","EXACT","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Technomyrmex",,"Technomyrmex","Mayr, 1872","1320039",
,"Paratrechina longicornis","Paratrechina longicornis (Latreille, 1802)","1325561","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Paratrechina","Paratrechina longicornis","Paratrechina longicornis","(Latreille, 1802) ","1325561",
,"Camponotus","Camponotus Mayr, 1861","1312361","EXACT","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus",,"Camponotus","Mayr, 1861","1312361",
,"Undaria pinnatifida","Undaria pinnatifida (Harv.) Suringar","5422556","EXACT","99","ACCEPTED","SPECIES","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","Undaria pinnatifida","Undaria pinnatifida","(Harv.) Suringar","5422556",
,"Asparagus declinatus","Asparagus declinatus L.","2768358","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Asparagus","Asparagus declinatus","Asparagus declinatus","L.","2768358",
,"Armillaria mellea","Armillaria mellea (Vahl) P.Kumm.","2536891","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","Armillaria mellea","Armillaria mellea","(Vahl) P.Kumm.","2536891",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Carcinus maenas","Carcinus maenas (Linnaeus, 1758)","5178595","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas","(Linnaeus, 1758) ","5178595",
,"Cornu apertus","Cornu apertus (Born, 1778)","9716911","EXACT","98","SYNONYM","SPECIES","Animalia","Mollusca","Gastropoda","Stylommatophora","Helicidae","Cantareus","Cantareus apertus","Cornu apertus","(Born, 1778) ","9716911","4564228"
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Carcinus maenas","Carcinus maenas (Linnaeus, 1758)","5178595","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas","(Linnaeus, 1758) ","5178595",
,"Asterias amurensis","Asterias amurensis Lutken, 1871","5187508","EXACT","99","ACCEPTED","SPECIES","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias amurensis","Asterias amurensis","Lutken, 1871","5187508",
,"Xiphophorus hellerii","Xiphophorus hellerii Heckel, 1848","8246728","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus hellerii","Xiphophorus hellerii","Heckel, 1848","8246728",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
,"Undaria pinnatifida","Undaria pinnatifida (Harv.) Suringar","5422556","EXACT","99","ACCEPTED","SPECIES","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","Undaria pinnatifida","Undaria pinnatifida","(Harv.) Suringar","5422556",
,"Asparagus declinatus","Asparagus declinatus L.","2768358","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Asparagus","Asparagus declinatus","Asparagus declinatus","L.","2768358",
,"Pheidole megacephala","Pheidole megacephala (Fabricius, 1793)","1322635","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole megacephala","Pheidole megacephala","(Fabricius, 1793) ","1322635",
,"Linepithema humile","Linepithema humile (Mayr, 1868)","1316908","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Linepithema","Linepithema humile","Linepithema humile","(Mayr, 1868) ","1316908",
,"Linepithema humile","Linepithema humile (Mayr, 1868)","1316908","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Linepithema","Linepithema humile","Linepithema humile","(Mayr, 1868) ","1316908",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
,"Solenopsis invicta","Solenopsis invicta Buren, 1972","5035230","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Solenopsis","Solenopsis invicta","Solenopsis invicta","Buren, 1972","5035230",
,"Poecilia latipinna","Poecilia latipinna (Lesueur, 1821)","5203752","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Poecilia","Poecilia latipinna","Poecilia latipinna","(Lesueur, 1821) ","5203752",
,"Perca fluviatilis","Perca fluviatilis Linnaeus, 1758","8140485","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Percidae","Perca","Perca fluviatilis","Perca fluviatilis","Linnaeus, 1758","8140485",
,"Carcinus maenas","Carcinus maenas (Linnaeus, 1758)","5178595","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas","(Linnaeus, 1758) ","5178595",
,"Carcinus maenas","Carcinus maenas (Linnaeus, 1758)","5178595","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas","(Linnaeus, 1758) ","5178595",
,"Carcinus maenas","Carcinus maenas (Linnaeus, 1758)","5178595","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas","(Linnaeus, 1758) ","5178595",
,"Carcinus maenas","Carcinus maenas (Linnaeus, 1758)","5178595","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas","(Linnaeus, 1758) ","5178595",
,"Carcinus maenas","Carcinus maenas (Linnaeus, 1758)","5178595","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas","(Linnaeus, 1758) ","5178595",
,"Carcinus maenas","Carcinus maenas (Linnaeus, 1758)","5178595","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas","(Linnaeus, 1758) ","5178595",
,"Carcinus maenas","Carcinus maenas (Linnaeus, 1758)","5178595","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas","(Linnaeus, 1758) ","5178595",
,"Carcinus maenas","Carcinus maenas (Linnaeus, 1758)","5178595","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas","(Linnaeus, 1758) ","5178595",
,"Pelmatolapia mariae","Pelmatolapia mariae (Boulenger, 1899)","9552432","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Pelmatolapia","Pelmatolapia mariae","Pelmatolapia mariae","(Boulenger, 1899) ","9552432",
,"Solenopsis invicta","Solenopsis invicta Buren, 1972","5035230","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Solenopsis","Solenopsis invicta","Solenopsis invicta","Buren, 1972","5035230",
,"Perca fluviatilis","Perca fluviatilis Linnaeus, 1758","8140485","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Percidae","Perca","Perca fluviatilis","Perca fluviatilis","Linnaeus, 1758","8140485",
,"Hemigrapsus sanguineus","Hemigrapsus sanguineus (De Haan, 1835)","2225772","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Varunidae","Hemigrapsus","Hemigrapsus sanguineus","Hemigrapsus sanguineus","(De Haan, 1835) ","2225772",
,"Maoricolpus roseus","Maoricolpus roseus (Quoy & Gaimard, 1834)","2300669","EXACT","99","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Turritellidae","Maoricolpus","Maoricolpus roseus","Maoricolpus roseus","(Quoy & Gaimard, 1834) ","2300669",
,"Solenopsis invicta","Solenopsis invicta Buren, 1972","5035230","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Solenopsis","Solenopsis invicta","Solenopsis invicta","Buren, 1972","5035230",
,"Amniataba percoides","Amniataba percoides (Günther, 1864)","2374606","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Terapontidae","Amniataba","Amniataba percoides","Amniataba percoides","(Günther, 1864) ","2374606",
,"Xiphophorus maculatus","Xiphophorus maculatus (Günther, 1866)","2350164","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus maculatus","Xiphophorus maculatus","(Günther, 1866) ","2350164",
,"Xiphophorus hellerii","Xiphophorus hellerii Heckel, 1848","8246728","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus hellerii","Xiphophorus hellerii","Heckel, 1848","8246728",
,"Xiphophorus hellerii","Xiphophorus hellerii Heckel, 1848","8246728","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus hellerii","Xiphophorus hellerii","Heckel, 1848","8246728",
,"Xiphophorus hellerii","Xiphophorus hellerii Heckel, 1848","8246728","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus hellerii","Xiphophorus hellerii","Heckel, 1848","8246728",
,"Carcinus maenas","Carcinus maenas (Linnaeus, 1758)","5178595","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas","(Linnaeus, 1758) ","5178595",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
,"Oreochromis mossambicus","Oreochromis mossambicus (Peters, 1852)","2372396","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Cichlidae","Oreochromis","Oreochromis mossambicus","Oreochromis mossambicus","(Peters, 1852) ","2372396",
,"Carcinus maenas","Carcinus maenas (Linnaeus, 1758)","5178595","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas","(Linnaeus, 1758) ","5178595",
,"Austropuccinia psidii","Austropuccinia psidii (G.Winter) Beenken","9739431","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","Austropuccinia psidii","(G.Winter) Beenken","9739431",
